========================================================================================================================
SUNRACK PROFILE IMAGE FILENAME MAPPING
========================================================================================================================

Use this guide to name your profile images. Save images with the exact filename shown.
Example: For MA-43, save the image as "MA-43.png"

========================================================================================================================

S.No  | Image Filename           | Source      | Generic Name
101   | SN-5307.png              | SNALCO      | Height Extender - U Long Rail
102   | MA-113.png               | Regal       | Bitumen Rail Splice
103   | MA-114.png               | Regal       | RCC EW Channel (Purlin)
104   | MA-115.png               | Regal       | RCC Column 40X60
105   | MA-116.png               | Regal       | RCC Bracing 40X40
106   | MA-117.png               | Regal       | H Bracket-V3
107   | MA-118.png               | Regal       | RCC EW Splice (Purlin splcie)
108   | MA-119.png               | Regal       | RCC NS CHANNEL (Rafter)
109   | MA-120.png               | Regal       | 100 - 27- Mono Rail (Ex)
110   | MA-121.png               | Regal       | 30mm End Clamp_Type 2
111   | MA-122.png               | Regal       | Mid Clamp - 27mm Module Gap
112   | MA-123.png               | Regal       | M8 Spacer
113   | EX-36.png                | Excellence  | 98/23 - 29 - Mini Rail (Ex)
114   | EX-41.png                | Excellence  | Flat Base (Type 2)
115   | SR-18.png                | VARN        | Purlin Clamp (Type 2)
116   | SR-17.png                | VARN        | Teeth Washer
117   | SN-5311.png              | SNALCO      | Bitumen Rail - 100mm
118   | SN-5312.png              | SNALCO      | 100/35 - 105 - Mini Rail (Ex)
119   | SR-15.png                | VARN        | Standing Seam Clamp - 65mm
120   | EX-51.png                | Excellence  | Toe Guard
121   | MA-124.png               | Regal       | Waaree Flexible Module Bracket
122   | MA-125.png               | Regal       | U Bracket
123   | MA-126.png               | Regal       | Module Flange Bracket
124   | MA-127.png               | Regal       | Sunrack Bottom Clamp
125   | EX-56.png                | Excellence  | 117mm L Cleat
126   | SU-09.png                | RC          | 60mm T Bolt Short Rail
127   | SU-10.png                | RC          | Mid Clamp - 15mm Module Gap
128   | MA-128.png               | Regal       | Standing Seam Walkway Clamp 2
129   | RL-49709.png             | Ralco       | C45 Strut Base (for Magnelis Long Rail)
130   | RL-49708.png             | Ralco       | C45 Strut Latch (for Magnelis Long Rail)
131   | RL-49710.png             | Ralco       | 45x30 - U Channel
132   | SU-21.png                | RC          | C45 Rail Jointer (for Magnelis Long Rail)
133   | SN-5313.png              | SNALCO      | H Bracket for 100mm Box Column
134   | SN-5314.png              | SNALCO      | 100mm Box Column
135   | SN-5317.png              | SNALCO      | 5 Deg Elevator
136   | SN-5318.png              | SNALCO      | 120mm Short Rail
137   | RL-49704.png             | Ralco       | Strut Rail Nut
138   | SR-02-(JM).png           | JM          | 150mm Short Rail
139   | DR-3.png                 | Darshan     | 150mm Inter-Lock Column
140   | MA-129.png               | Regal       | 100mm Part A - 2 Part Seam Clamp

========================================================================================================================

SUMMARY BY CODE SOURCE:
------------------------------------------------------------------------------------------------------------------------
Regal          : 98 profiles
Excellence     : 15 profiles
VARN           : 6 profiles
RC             : 4 profiles
SNALCO         : 9 profiles
Darshan        : 3 profiles
JM             : 1 profiles
Ralco          : 4 profiles

========================================================================================================================

NOTES:
1. Image Priority Order: Regal > Excellence > VARN > RC > SNALCO > Darshan > JM > Ralco > SaiDeep > Eleanor
2. All spaces in codes are replaced with hyphens (e.g., "MA 43" becomes "MA-43")
3. Recommended image format: PNG (transparent background preferred)
4. Save all images in: backend/assets/profile-images/
5. After saving images, run the image path update script to update the database

